line;cross;driveParent;eggOffspring;adultOffspring;drive
1D;RG;male;77;65;51
1D;RG;male;74;65;49
1D;RG;male;84;69;51
1D;RG;male;72;59;40
1D;RG;male;97;79;65
1D;RG;female;122;12;11
1D;RG;female;65;11;11
1D;RG;female;99;4;4
1D;RG;female;77;3;3
1D;RG;female;71;68;47
1D;R;male;61;58;0
1D;R;male;72;56;0
1D;R;male;52;51;0
1D;R;male;98;85;0
1D;R;male;78;71;0
1D;R;female;88;82;0
1D;R;female;62;53;0
1D;R;female;78;70;0
1D;R;female;55;55;0
1D;R;female;49;36;0
1A;RG;male;105;98;66
1A;RG;male;82;80;50
1A;RG;male;95;89;53
1A;RG;male;82;77;57
1A;RG;male;89;89;67
1A;RG;female;63;51;34
1A;RG;female;111;8;7
1A;RG;female;123;15;13
1A;RG;female;104;13;12
1A;RG;female;78;61;41
1A;RG;female;138;22;17
1A;RG;female;64;5;5
1A;R;male;83;65;0
1A;R;male;89;84;0
1A;R;male;63;59;0
1A;R;male;125;120;0
1A;R;male;86;84;0
1A;R;male;88;77;0
1A;R;female;90;7;0
1A;R;female;105;97;0
1A;R;female;109;106;0
1A;R;female;96;96;0
1A;R;female;9;9;0
1A;R;female;54;8;0