line;cross;driveParent;offspring;drive
1A;drive;male;227;184
1A;drive;male;262;205
1A;drive;male;101;63
1A;drive;male;90;71
1A;drive;male;80;70
1D;drive;male;299;215
1D;drive;male;236;131
1D;drive;male;244;203
1D;drive;male;98;87
1D;drive;male;91;69
1A;drive;female;64;45
1A;drive;female;77;55
1A;drive;female;89;59
1A;drive;female;68;37
1A;drive;female;63;46
1A;drive;female;83;58
1A;drive;female;159;123
1A;drive;female;174;141
1D;drive;female;126;71
1D;drive;female;136;89
1D;drive;female;87;59
1D;drive;female;94;70
1D;drive;female;55;36
1D;drive;female;99;63
1D;drive;female;92;64
1D;drive;female;111;82
1A;control;male;110;66
1A;control;male;155;72
1A;control;male;141;76
1A;control;male;89;51
1A;control;male;196;103
1D;control;male;137;66
1D;control;male;164;96
1D;control;male;118;64
1D;control;male;166;86
1D;control;male;166;85
1A;control;female;129;60
1A;control;female;172;80
1A;control;female;161;76
1A;control;female;150;72
1A;control;female;168;76
1D;control;female;144;68
1D;control;female;123;58
1D;control;female;146;76
1D;control;female;164;74
1D;control;female;125;61